source,destination,amount,usdamount
J54h5TD8247Yn31ck7rZcbYoBaSrPdj5G597hEFuKCL6,F4G8vnGSnqjrPGXXeSfhXjWyQJCRrjnkyBuyDqsvxbLr,53998.6,0.0
7RiUeMFkBR8B4AZDWM8F9LFbvDN5bvUY3MYKx7zEWJ7x,J54h5TD8247Yn31ck7rZcbYoBaSrPdj5G597hEFuKCL6,53997.6,0.0
XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,55517.50000000001,0.0
XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,1312.6000000000058,0.0
XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,Mihso7kXXNPb7GUZ71H7MedYrpW88MTQFdLKrtAnDvj,12.4,0.0
44FM9PW73gJ4oYGzG3UV8Vo1kckM51gvsz93qiQrke9i,XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,55517.50000000001,0.0
44FMgwTUddNM4db4yaNmtAuopmciLEN2ndnc9p7vEE9i,XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,1312.6,0.0
14CYc4kFocsRha4WMhWnjDyHcaaS6HD7MaeAwkrZh9qQ,XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,4.3,0.0
Dza4PahbLaY2ipuRgC5ntDS1faHksNv3srVPBwzritzA,XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,3.6,0.0
Cw3SW4i5euQuYiJ5dP7ExaoMc1mb4F45MRhPk1L6SDK2,XoqQv6mCDUAZX6s3NxEySwNtwtuawi8DxwaYMsyfxVr,2.3,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,32737.599999999948,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,4MPNGLvXUPCPdMaqDxMiNYAj5uB5s4ZByQQpmS9hVu27,2090.8,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,8xWkisMQgnoLiH7gAamiQR3MbCuJXV7eUCxDMqJidLJS,1738.3999999999999,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,Dr4sBoxzFbCTdMtDsGGYtMFMRiConqHwz6hjV6feCg8U,3289.8,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,EHnXCgCYsai18rBDXap5As9TY8XH65XoY8yZgo5XvaHB,967.6000000000001,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,EaLXoLq8JboQxTopZhpNLYD7cX8EbkMjfTBwS1f4e8ao,5668.1,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,FK9Xhxm8yfpbj7gcbnCK4JvVtx7LdboHdfqZsuVBqYzS,3430.5,0.0
4DZFY1ByfQbxeDmG3NKGrAtNMWwUbqb9pnx8n7H8RfuK,AZ7nFNeskPLzTjR8RET3EYp9PX5tVjxnXk7nGjKDL1zK,3015.6000000000004,0.0
