Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
Gv2kCTVyMU3crNkT2Yxn2h63cy7HLqDQ49GRDZ33v21L,531,22,52.0,2.36,32,21,4,0,5,2339.5,2339.5,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,3402.53,0.0,unknown,6
AzcbdGtz3Uzs4FtjKuegpUy6SDZmfba9mNvgyFgi3Yzt,238,6,30.0,5.0,26,3,4,0,4,2374.3,2374.3,0.0,0.1,0.0,0.0,0.0,1.0344827586206895,483.69,0.0,wallet,8
4XLt4PS3oPHM56b18NQNESH2uqqwiCofx1xsgAJ4ZqBG,1304,1,1.0,1.0,27,2,4,0,0,353.5,353.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,unknown,1305
GQHSWb4Lb9qFfYPKmZMfePJ989SYZ8fqUePbi84UCvUY,178,14,61.0,4.36,20,4,4,3,7,5092.6,5092.6,0.0,0.0,0.0,0.0,0.0,2.652173913043478,1021.76,0.0,unknown,45
8mm35k623BCyW6rvqxLVwpyUrmV1Xx5XLBmZk4gowfMN,81,64,1000.0,15.62,25,7,4,1,16,101745.8,101745.8,0.0,579.82,0.0,0.0,0.0,1.6611295681063123,1067.25,0.0,wallet,0
Fm5kGyR62CiYeLpDRW4tNCHKcXYngYUkbs8EwaKgJZmC,193,39,138.0,3.54,19,3,4,3,6,2243.1,2243.1,0.0,0.0,0.0,0.0,0.0,2.816326530612245,1382.35,0.0,unknown,44
4pfoe867WCS39dNKuqKdXS6JJ9q1QACrW4KS27mVVfFf,518,58,367.0,6.33,23,12,3,1,13,26719.9,26719.9,0.0,0.0,0.0,0.0,0.0,1.3643122676579926,571.16,0.0,wallet,0
B83sWpYKNeaGMFpACacgmSL2RCkxtiratgcrHaX2EvtC,828,5,11.0,2.2,26,3,3,1,3,13744.8,13744.8,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,4236.46,0.0,unknown,59
9rouHmPnb1mEmUsD7UJkrWE5HSDwMiVZr9yPrgevJQxh,470,62,337.0,5.44,23,11,3,2,27,0.2,0.2,0.0,0.07,0.0,491780.09,10003.04,1.3643724696356276,4330.09,0.0,wallet,0
8smWbQcTBrcRP31vEh6GgPuBudsgbSvfURNbPvnEnfAG,542,145,747.0,5.15,23,55,3,0,37,4835.6,4835.6,0.0,13.57,0.0,32088.35,0.0,1.165366614664587,801.91,0.0,wallet,0
GZBwvNenFrvPpqhG5msK7D9LSAExspRkz8uaYmxsXEiK,929,1,6.0,6.0,12,5,3,1,2,18019.8,18019.8,0.0,0.0,0.0,713750.0,0.0,1.0,0.02,0.0,unknown,931
DNyAwzJcHuh9KdUXRGXySBYKAixUSN2ZaxGsJe3CTGd,164,54,478.0,8.85,33,27,3,0,17,201.1,201.1,0.0,0.0,0.0,4964.01,0.0,1.4573170731707317,709.03,0.0,wallet,6
8CJrYjXouk7Bo7u4h37eWQVnAiYY6Dpp514C6LLuFYdD,376,16,45.0,2.81,20,10,3,1,7,125.5,125.5,0.0,0.0,0.0,1734.83,0.0,1.6666666666666667,1389.61,0.0,wallet,2
Gtv3Zj9FyvU52hnA2931npdzJ691vwhGU46fTH1yWm1W,552,32,77.0,2.41,27,5,3,0,5,36400.2,110.5,0.0,0.0,0.0,0.0,0.0,1.0,438.24,0.0,unknown,500
8orAnWrHmBdSBmHPYmdLQvsyYWF9ozt5VWfK1KYxdcsD,400,15,54.0,3.6,23,15,3,2,20,1760.5,1760.5,0.0,140.06,0.0,70.0,1130.01,1.173913043478261,2999.8,0.0,wallet,12
AuQQETtiE14cwirZZCjB1r65Hrvdx7KiMDMX19CamiEq,411,5,19.0,3.8,22,3,3,1,4,2374.2,2374.2,0.0,0.0,0.0,0.0,0.0,1.1176470588235294,374.3,0.0,wallet,250
38dXYJtG6SoPyhhQLfMH4oNB5EHuFkdmXaXkdA1Qy4SL,322,37,225.0,6.08,25,37,2,0,6,129.7,129.7,0.0,0.01,0.0,0.0,0.0,1.2569832402234635,3553.81,0.0,wallet,14
