first_in_transfer_time,first_out_transfer_time,in_transfer_count,last_in_transfer_time,last_out_transfer_time,out_transfer_count,total_in_transfer_value,total_out_transfer_value,wallet,hold_time_gap,gap_hours,net_transfer_value,token_address
2026-04-20 03:46:30+00:00,2026-04-20 18:41:55+00:00,2,2026-04-20 03:46:40+00:00,2026-04-20 18:41:55+00:00,1,1161682.181373,1161682.181373,FJraoZNszzinhoLgBz1d8qV2cUWsMkhvQ7CoKbC5gHkW,0 days 14:55:15,14.920833333333333,0.0,BKkHDMm5EJmEKBE7yjsH1hxrht3wsHRkUDgqSxcbpump
2026-04-20 04:15:54+00:00,2026-04-20 22:18:35+00:00,2,2026-04-20 15:35:46+00:00,2026-04-21 03:16:19+00:00,2,621770.093174,621770.093174,5tvVLNHpXc4v1oDyGoW2XnaL8TyuNSuukD7nm8hHiH1d,0 days 06:42:49,6.713611111111111,0.0,BKkHDMm5EJmEKBE7yjsH1hxrht3wsHRkUDgqSxcbpump
