Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
DkMQBWMcp9k65P33YKxrBYg5VoKZPLuPvu8sfWRC7k3q,26,1,3.0,3.0,4,3,0,0,2,36.0,36.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,wallet,29.0
DjsCjQmY2bNZm98PH7FkpDWaDPpC3X57pXD4PghGJXXV,37,2,3.0,1.5,3,2,0,0,2,18.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,unknown,32.0
GXdxuoWx2sXhyNXuX7Cx3N8izGyKKzy11eCqsVZV8mti,394,19,103.0,5.42,22,5,0,0,6,477.3,477.3,0.0,0.0,0.0,0.0,0.0,1.4109589041095891,0.0,0.0,wallet,2.0
4k8Cg1Fb8Fpeh6MQFicb78pYPueDBiZRLw8TcHvsrX5w,999,120,1000.0,8.33,23,20,1,0,19,407.5,407.5,0.0,0.0,0.0,24588.78,0.0,1.2269938650306749,19656.69,0.0,wallet,3.0
4zbrtjNhJG1rCfP1WCuCvspFqPtGwYH3DcqiWoMT24f8,252,6,115.0,19.17,12,6,0,0,11,711.6,711.6,0.0,0.01,0.0,0.0,0.0,1.0952380952380951,0.0,0.0,wallet,16.0
DFdyTWb3HxLVdpmiQfv3SdwcUBfqs4oX25ovujUuxWeT,69,42,1000.0,23.81,63,239,105,0,61,3131.4,3131.4,0.0,0.03,53.0,0.0,0.23,1.1976047904191616,1118.03,133.88,wallet,0.0
HQtALJu7P3NnCEUdC3HoE3zFw6ekjjAPYaKr2JUHx21N,10,2,5.0,2.5,21,3,0,0,2,65.8,65.8,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,wallet,6.0
8m6aAvLkoHsjAfR1sniGdncEXHGyLbtzCCUkY3LTvdQM,52,2,4.0,2.0,4,3,0,0,2,35.2,35.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,wallet,52.0
HPzJpzAuuJg6mDtDKdPN4Tf723F9kcjEtv3KRfPAgPzE,378,31,88.0,2.84,22,6,0,0,5,311.7,311.7,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,wallet,14.0
98PY6tyoohLw3wCMBx3ttLP5pHcYttLQi3HNHzAiLSaU,26,10,28.0,2.8,12,33,0,0,4,387.2,387.2,0.0,3.01,0.0,0.0,0.0,1.5555555555555556,0.0,0.0,wallet,19.0
F6nUTy5H7FnScfVyuMV2bpbdCL5BnB7WcUDUYpM1FMdX,23,2,4.0,2.0,6,3,0,0,2,35.6,35.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,wallet,19.0
2UoeGZqkxRLWUC5rBRW4WSxX4T3vnB1c4tc1PL93a5jt,266,64,479.0,7.48,23,27,0,0,2,980.4,980.4,0.0,0.0,0.0,0.0,0.0,1.2945945945945947,0.0,0.0,wallet,14.0
89wqnQ9nXsY747qKvpvRXQ3x8Eoayy5LrkDqyaPW5Yo4,1194,32,224.0,7.0,22,13,2,0,15,298.4,298.4,0.0,0.0,0.0,0.0,0.0,1.154639175257732,0.0,0.0,wallet,17.0
Cp6MbHJ8oj9FLCAQcNZY3TEkmUP3aRUEygrGXBwGC5qs,162,5,104.0,20.8,22,8,1,0,5,78.8,78.8,0.0,0.0,0.0,10489.67,0.0,1.0505050505050506,3.09,0.0,wallet,15.0
E89MWw8QX9oPUHHZQckS1EzD2JShLhmkqhxksZ4NZ5Yu,214,20,76.0,3.8,24,10,0,0,11,123.0,123.0,0.0,0.0,0.0,0.0,0.0,1.6170212765957446,0.0,0.0,wallet,7.0
7hr9SgCR6p6AGCM9CgimHDKcip99BXQBMvVnT6KJSMcS,16,1,4.0,4.0,4,3,0,0,2,34.4,34.4,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,wallet,19.0
4W95qHh3E8oKEHuCiCVmBuJvAf8Bxqkrzj5hjGsh8oui,110,14,55.0,3.93,7,3,0,0,2,134.9,134.9,0.0,0.0,0.0,0.0,0.0,1.9642857142857144,0.0,0.0,wallet,13.0
9tw9bgq9SdPhJp8vxn7ThVvJzF3y9uMTFjF9MCUhwCNN,518,22,43.0,1.95,22,13,1,1,8,178.0,178.0,0.0,0.01,0.0,0.0,0.0,1.4827586206896552,9700.01,0.0,wallet,6.0
