source,destination,amount,usdamount
4BrNTy5yQqfyfYZSWubqgJLLDut2m6VbW6gxD8CPQwZi,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,5.4,0.0
4E4iUQGm4ykHFpC6YXUKaEGWAiWgin56h7QEAqTV9X6p,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,5553.8,0.0
4Es1CDCEjmDLmhGTdiB3RRZTLU9bofiuva56uYKGZzk5,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,12716.300000000005,0.0
4F1ek1pNDEqahj2ZJDseiK7jL6v43FnKajErjAZ71iy9,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,11.5,0.0
4FXo6MqDzNEdnwV6fTbEmtzaz2idxk9i1cimCNdMtyiT,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,193.5,0.0
4M65F7bt2vkWVWYoZZ1Gag8wjyT8ufK41EdT4zBDXP2q,GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,8.100000000000001,0.0
4a2eTcwNdVVpx3A7PkWKPCTL4GDCGWnC2fQLDrkFg4zb,5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,4568.0,0.0
4a4sCaPmh575K3DJF8B5yw3snSZrRnu8CwpDqTH43fZT,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,0.0,181.0
4a4sCaPmh575K3DJF8B5yw3snSZrRnu8CwpDqTH43fZT,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,18.6,0.0
4aFb3z9QbQmNPQnchThFdx5xvFV3ozuwSFBMu7iqTQcN,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,69.5,0.0
4dbo6jM3kC455xCaCQRwGoSdxKf6duuvMVzjry3VYxT2,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,16727.2,0.0
4fQRuYcdx5mDfaoXuRipX421uL3DUmcGxL5ukrKYFFYq,6oCa9Tz8VXVp63WiFyruE5PD6yXz3pCsv6oGzUGvg9TP,10.8,0.0
4mzXf5DPKKky5sMZmLL2vHNqru9oNTiqctCtiZf6NmtQ,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,21.7,0.0
4qeG79wPG2aE2mUo3VizpuuQVLeTEEKeFM3E5PuxdieR,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,9233.3,0.0
4s4cBnjoJnFUHFrekyURwA5i5qKWfTLHHbFujEXurxob,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,15.8,0.0
4uKh2JZFvRdCeM5JS5SyiXgsJ8gcsiTGuSBmziPVNawD,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,2.3,0.0
4uVhz7obMAdcBF83X8bM8qggJTyjGVDdoSLGvsoES2ZL,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,3.8,0.0
4ucyG1nDNaBMckwVgsLAfh2rNynPgjzRVuPcoE91C7uM,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,4.6,0.0
4yBDVoCiXjPfMj52nGEKxsd6NqjhkCAvVTGQheuxyRsR,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,429.0,0.0
573PkVmTdLh1wTNxfznQPQ7duhh4pcfUhgXVC4pgBEtV,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,28747.6,0.0
57vL1YKYjKjxwR3Ea6MeojUPtntwRd6KxfTf4DFj1jRk,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,29.9,0.0
58ToqTsXUv2FzuvXg8tPgZNgpBkFPjGWD333PDwoDhPv,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,1100.0,0.0
5AKxbXmJMpvjSm8gu8DmoA8muWtSv6MnfPWAkcAXtJ3C,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,7.1,0.0
5ALhyigDfTfSv5pxbKjbXjGWkAxpmpiBXnH2ANmQrUkL,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,440.2,0.0
5B8tHZGHyj2AcoU3UtnoZubV3Tr1MRdpNhqoVDDC3WAr,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,4.5,0.0
5BJdqyn8A1uPpREGTPbF2kbTQKq9VzmzQ9QUBMQpiCFX,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,18.0,0.0
5G1VXFjN2AZVL56WLAY1E2XejCcwCm9ijMFqh6xwQT7o,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,5.7,0.0
5JE6cUi6csFUpcRxi7pSRUivVGj54cMegc5rJAYLJ8cB,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,3165.4,0.0
5LQ2KrcpgdaEW93jx99iB4N2ny7BknthgSHnT8kdCdcc,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,0.0,50000.0
5ML5X6c6PHBhe6e2DPFjx5zgmqRFRmxFUbkwsxrxQ1r6,GK35nWN6ZHSGZrRTf8kTQd8RkFCighChPEb41XwSFVAC,7.199999999999999,0.0
5SAySpcRoy187xPy8VjzNebLQ9a8WHfcBNxSayfaghPc,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,34.2,0.0
5UZmEK4i4Q3rVLp2DJQb9VD9oFkuvPe2naNaMd1vWnp9,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,1103.5,0.0
5VCwKtCXgCJ6kit5FybXjvriW3xELsFDhYrPSqtJNmcD,Acw71csLTsrz94rP2Qc6eMKFfS6eraDhKKCw8r1Fkdf4,335.4,0.0
5WFzq9oKaNYoL2f7SuRYyrPSjeQZa5sairpSvktw99mj,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,28.9,0.0
5Y4dKn6xYL3DGCExHyKxZ4qBj43y2DshSWFkmbVR6A7J,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,3.4,0.0
5dAvFTXuGBwKq2oQzNiG5J4w9bHokyu4eUGRbTS6jMD1,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,127.0,0.0
5i81qWiXeaebp5jHH5CVLY1XCAXd65kyCZ3H5BwvM5TX,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,7.0,0.0
5iRNPHvr5AGttSp8fTdbF5Y1m7RQdzxb4cYfe7WobtcZ,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,875.5,0.0
5ovD3s5Dc5XehWbgKGHueVctSrEcY4hfo6GvSXVTnekc,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,664.0,0.0
5pvXX2A2sSQc5agsvq9FFrWf6t4T4at4zjfCTsgPsQMS,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,1979.5,0.0
5svw9mUWREeqxpePZupXBPZYiZ96fT33obKi7aW7T7vU,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,192.5,0.0
61SGtkBrNEa6Wu49cGaThtm3iQgr8atPRyqbMUYw2TK3,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,2.5,0.0
