Industry,Ticker,mcap,Debt_M,Cash_M,SI%,institutes%,Pending Shelf_M
Mag7,NVDA,4571.32,14770.0,43210.0,1.0,0.0,10000.0
power_management_chips,NVTS,2.09,0.0,0.0,30.61,40.46,150.0
new_nuclear_energy,OKLO,13.96,1.94,410.0,15.9,85.03,250.0
power_management_chips,ON,23.62,3350.0,2870.0,9.89,97.7,2500.0
uas_defense_robotics,ONDS,4.69,18.03,451.63,0.0,0.0,150.0
lidar_sensing,OUST,1.49,15.9,247.0,11.74,54.78,240.0
earth_observation,PL,6.71,446.2,677.3,11.65,59.33,300.0
hydrogen_fuel_cells,PLUG,3.3,,,24.48,38.42,750.0
power_management_chips,POWI,2.09,0.0,48.65,10.44,102.13,300.0
service_robotics,PRCT,1.85,52.0,297.3,14.71,89.46,500.0
quantum,QBTS,10.73,32.198,836.2,0.0,0.0,125.0
batteries_storage_tech,QS,6.81,0.0,225.826,9.17,29.87,450.0
quantum,QUBT,2.68,2.58,352.0,,,45.0
uas_defense_robotics,RCAT,1.3,21.91,206.43,21.02,0.0,300.0
space_launch_systems,RDW,1.69,220.0,52.3,12.28,75.05,150.0
quantum,RGTI,8.25,7.59,446.9,,,215.0
Mining,RIOT,5.5,390.0,33.49,13.69,69.7,500.0
space_launch_systems,RKLB,41.74,510.0,807.9,9.61,51.71,450.0
service_robotics,RR,0.75,6740.0,7500.0,20.86,21.28,45.0
earth_observation,SATL,0.31,0.0,0.0,7.94,22.96,50.0
earth_observation,SATS,31.86,0.0,0.0,16.7,94.5,1200.0
service_robotics,SERV,0.94,0.0,0.0,24.99,27.84,120.0
batteries_storage_tech,SES,0.78,1.9,0.0,0.0,0.0,150.0
battery_materials_mining,SGML,2.35,166.41,6.11,18.78,82.91,350.0
,SIDU,0.26,,,,,45.0
batteries_storage_tech,SLDP,0.98,8.21,47.29,0.0,0.0,150.0
new_nuclear_energy,SMR,5.69,0.0,753.8,26.04,38.82,400.0
uas_defense_robotics,SPAI,0.1,0.0,0.0,5.56,0.0,75.0
space_launch_systems,SPCE,0.21,425.0,424.0,24.28,15.41,300.0
earth_observation,SPIR,0.28,0.0,0.0,12.04,47.19,85.0
battery_materials_mining,SQM,19.31,4720.0,1490.0,1.03,0.0,1800.0
batteries_storage_sw,STEM,0.15,366.92,43.1,14.61,25.57,150.0
batteries_storage_sw,TE,2.15,622.3,86.7,7.35,52.31,15.0
autonomous_driving,TSLA,1415.29,13780.0,41640.0,2.67,48.11,5000.0
new_nuclear_energy,UEC,,0.0,214.0,9.57,75.47,0.0
uas_defense_robotics,UMAC,0.57,1.28,81.14,14.78,29.69,100.0
earth_observation,VSAT,5.21,5660.0,1560.0,9.8,98.97,750.0
,WOLF,0.47,,,,,450.0
Hyperscalers,WULF,5.7,0.0,0.0,35.19,0.0,174.4
autonomous_driving,XPEV,152.55,2666.0,6790.0,5.31,8.61,1200.0
service_robotics,ZBRA,12.8,2183.0,1053.0,2.21,95.72,1500.0
uas_defense_robotics,ZENA,0.14,0.0,0.0,4.99,0.0,45.0
